GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g4414,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,179.89731071693646
g4415,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.03020332162745
g4416,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.24473620997762
g4417,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.54052365291915
g4418,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.91703779810942
g4419,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,181.3736133201976
g4420,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,181.90945318607697
g4421,3,0.0,0,1,0,0,0,0.0,0.0,0.0,99.92028986357789,3.7933158469636408,99.92028986357789,182.52363542098558
g4422,3,0.0,0,1,0,0,0,0.0,0.0,0.0,99.23340766925325,8.604537271114065,99.23340766925325,183.2151207454112
g4423,3,0.0,0,1,0,0,0,0.0,0.0,0.0,100.2208675159052,11.055467470508045,100.2208675159052,183.98276094120163
g4424,1,0.0,0,0,0,0,0,0.0,0.0,0.0,100.2208675159052,11.055467470508045,100.2208675159052,184.82530779823423
g4425,0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.2208675159052,11.055467470508045,100.2208675159052,185.74142249040204
g4426,0,0.0,0,0,0,0,0,0.0,0.0,0.0,72.79777120975312,2.09205917299746,72.79777120975312,186.72968523127707
g4427,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,191.76914651308496
g4428,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,190.68168504211852
g4429,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,189.66255180063317
g4430,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,188.71319360494763
g4431,1,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,187.83499517483116
g4432,3,0.0,0,1,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,187.02927023343736
g4433,1,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,186.29725266950015
g4434,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,185.64008788321397
g4435,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,185.05882444320142
g4436,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,184.55440618503852
g4437,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,184.12766488157976
g4438,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.77931361152451
g4439,2,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.5099409451588
g4440,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.32000605501423
g4441,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.20983484450187
g4442,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.1796171697702
g4443,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.22940520962985
g4444,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.35911301604855
g4445,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.5685172542218
